item_name,item_price,item_link,item_img,category
[MADE] 마델카 H라인 스판 뒷트임 밴딩롱스커트,"19,800원",https://hotping.co.kr/product/detail.html?product_no=40489&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202305/53ae20888db4ac6ab759a5cb78f8b8a8.gif,skirts
[MADE] 컬러피그먼트 워싱 와이드팬츠,"21,000원",https://hotping.co.kr/product/detail.html?product_no=39498&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202302/0fb7a0d3c65978671dd9ff4f85073178.gif,sale
[MADE] 로이드 실켓코튼 라운드 롤업반팔티셔츠,"13,800원",https://hotping.co.kr/product/detail.html?product_no=32694&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202106/57d7f7e0f96ec74dbca73fc70fa184bc.gif,tops
[MADE] 제인프 테일러드싱글자켓,"23,000원",https://hotping.co.kr/product/detail.html?product_no=29066&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202212/64a341dd2a149a8f0175088fffc2828a.gif,outwear
[MADE] 클렌느 골지 나시원피스 후드집업set,"29,800원",https://hotping.co.kr/product/detail.html?product_no=34610&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202301/1a1745c397177b55450051b693183b62.gif,outwear
[MADE] 쥬이 속밴딩 코튼 롤업반바지,"24,800원",https://hotping.co.kr/product/detail.html?product_no=25379&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202303/0b6deedd4b69bc973afa69da4ec8866d.gif,bottoms
[MADE] 하버 속밴딩 9부 코튼 스키니팬츠,"16,000원",https://hotping.co.kr/product/detail.html?product_no=39278&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202302/01891a43b86e22ef5f241906054e8eaa.gif,sale
[여름린넨/휴양지추천룩❤️][MADE] 로제 린넨 브이넥 스트랩 퍼프롱원피스,"35,800원",https://hotping.co.kr/product/detail.html?product_no=40275&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202306/b711f8e4cb7d3dcd17d47d3d71857959.gif,dresses
[MADE] 바인트 쫀쫀골지 반팔티셔츠,"9,900원",https://hotping.co.kr/product/detail.html?product_no=29649&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202205/c447175891c1b9ac274dd2f36a949fff.gif,tops
[MADE] 이프네 빅포켓 카라롱원피스,"29,800원",https://hotping.co.kr/product/detail.html?product_no=36656&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202207/e1f2fbb2a5cba4df7ee3016826e0e99d.gif,dresses
[MADE] 슈비 라운드넥 케이블 반팔 니트티 (비스코스65%),"24,800원",https://hotping.co.kr/product/detail.html?product_no=39918&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202304/975e86838fe381bb445abbbe6d0e3598.gif,tops
[MADE] 에블린 비죠 핀턱와이드 슬랙스,"27,800원",https://hotping.co.kr/product/detail.html?product_no=39508&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202305/7e0a8de5b21220f59159d264a73dedf5.gif,bottoms
[MADE] 카인 쉬폰 셔츠롱원피스,"24,800원",https://hotping.co.kr/product/detail.html?product_no=29692&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202303/05366f90d063ceedffc30c0cd31d8ff5.gif,dresses
[여름쿨원단🧊][MADE] 어펠리 썸머 배색 나시+가디건set,"23,800원",https://hotping.co.kr/product/detail.html?product_no=40226&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202305/36508724e4bab81f341a4258d2da8258.gif,outwear
[MADE] 마인트 체크 뷔스티에롱원피스,"34,800원",https://hotping.co.kr/product/detail.html?product_no=36353&cate_no=26&display_group=1,https://www.hotping.co.kr/web/product/medium/202207/d354cc72e5d574639ad6d9432ab5d3cc.gif,dresses
[MADE][롱&기본] 에콘 속밴딩 부츠컷슬랙스,"31,800원",https://hotping.co.kr/product/detail.html?product_no=37722&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202303/68e43defe885b32327311cdb1011a816.gif,bottoms
[MADE] 타임머신V넥 반팔골지티셔츠,"12,800원",https://hotping.co.kr/product/detail.html?product_no=28640&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202304/3f9a54e505c9ec10d628e6b85e44b63d.gif,tops
[MADE] 토미컷팅 연청 보이핏청바지,"33,800원",https://hotping.co.kr/product/detail.html?product_no=32501&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202207/8f68e53c5d95d24c54624fc0a62d541a.gif,bottoms
[컬러추가🖤][MADE] 리뉴얼 나일론 투웨이 밴딩 카고팬츠,"28,700원",https://hotping.co.kr/product/detail.html?product_no=39577&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202305/06cb7522c4d6b678b2c062a26d7fbf5a.gif,bottoms
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠,"20,000원",https://hotping.co.kr/product/detail.html?product_no=39544&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202302/0e59a1cb0abfbf314fc37566b49a1571.gif,sale
[관리쉬운/쿨링감🧊/공항룩🛬/구김ZERO][MADE] 피플즈_뷔스티에 밴딩 캉캉 롱원피스,"19,800원",https://hotping.co.kr/product/detail.html?product_no=40161&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202305/dc869a9fd322e1457aac80c929cad8b7.gif,dresses
[MADE][LOVB] L-1067 투버튼자켓,"27,000원",https://hotping.co.kr/product/detail.html?product_no=30069&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202202/db058c61bb1d39a1fa2f6feadd6456a0.gif,outwear
[MADE] 투데이 브이넥 린넨 퍼프 반팔자켓블라우스,"24,800원",https://hotping.co.kr/product/detail.html?product_no=36161&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202208/6002a7de0f67edb3190a88121d58884f.gif,outwear
[MADE] 베럴미2 밴딩 조거팬츠,"19,800원",https://hotping.co.kr/product/detail.html?product_no=36730&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202207/54287934a0100f25eff48f852a9d3c2f.gif,bottoms
[MADE] 포잇 오버핏 빅포켓 퍼프남방 점퍼,"29,800원",https://hotping.co.kr/product/detail.html?product_no=37436&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202301/5a457e2c202cdda4cf986fe72e009ea6.gif,outwear
[MADE] 로바 트위드 트임 뒷밴딩롱스커트,"14,000원",https://hotping.co.kr/product/detail.html?product_no=33759&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202201/124d4364c719fd0f97f8dac44fe0a919.gif,skirts
[MADE] 찰랑루즈 레이온스판 트임티셔츠,"13,800원",https://hotping.co.kr/product/detail.html?product_no=33966&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202204/e01142f56c4fc0e41f1dfeb62e8b52d9.gif,tops
[MADE] 스완 플레어나시 루즈핏 가디건set,"31,800원",https://hotping.co.kr/product/detail.html?product_no=32360&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202303/c77c22f011dac27207c3ebf0ebba051b.gif,outwear
[여름쿨원단🧊/휴양지추천룩💙][MADE] 브레디 시어서커 뷔스티에 스트랩 롱원피스,"29,800원",https://hotping.co.kr/product/detail.html?product_no=36551&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202305/c46290084e6a48ae199e89b27547d64e.gif,dresses
[MADE] 네이티 링클 밴딩 롱스커트,"25,800원",https://hotping.co.kr/product/detail.html?product_no=36471&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202208/5a19c2e38dd77504bc210ffa967f1e55.gif,skirts
[MADE] 캘론 뒷밴딩 핀턱 퍼프 셔츠롱원피스,"35,800원",https://hotping.co.kr/product/detail.html?product_no=40278&cate_no=26&display_group=1,https://www.hotping.co.kr/web/product/medium/202305/e806c8cc1c6795d48002804020199b75.gif,dresses
